SAMPLES	DATASET	TREATMENT	TITERS
ADJ3_124	TSG75_V1	V1	700000
ADJ3_132	TSG75_V1	V1	1000000
ADJ3_134	TSG75_V1	V1	1000000
ADJ3_137	TSG75_V1	V1	1000000
ADJ3_139	TSG75_V1	V1	700000
ADJ3_140	TSG75_V1	V1	1000000
ADJ3_141	TSG75_V1	V1	1000000
ADJ3_142	TSG75_V1	V1	1000000
ADJ3_123	TSG75_V1	V1	700000
ADJ3_125	TSG75_V1	V1	700000
ADJ3_129	TSG75_V1	V1	700000
ADJ3_131	TSG75_V1	V1	700000
ADJ3_133	TSG75_V1	V1	1000000
ADJ3_136	TSG75_V1	V1	1000000
ADJ3_135	TSG75_V1	V1	1000000
ADJ3_138	TSG75_V1	V1	1000000
ADJ3_143	TSG75_V1	V1	1000000
ADJ3_144	TSG75_V1	V1	1000000
ADJ3_145	TSG75_V1	V1	700000
ADJ3_146	TSG75_V1	V1	1000000
ADJ3_147	TSG75_V1	V1	1000000
ADJ3_148	TSG75_V1	V1	1000000
ADJ3_168	TSG75_V1	Cas9neg	100000
ADJ3_180	TSG75_V1	Cas9neg	100000
ADJ3_181	TSG75_V1	Cas9neg	100000
ADJ3_167	TSG75_V1	Cas9neg	100000
ADJ3_179	TSG75_V1	Cas9neg	100000
ADJ3_65	TSG75_V3	V3	750000
ADJ3_68	TSG75_V3	V3	750000
ADJ3_72	TSG75_V3	V3	750000
ADJ3_74	TSG75_V3	V3	750000
ADJ3_77	TSG75_V3	V3	750000
ADJ3_79	TSG75_V3	V3	750000
ADJ3_81	TSG75_V3	V3	750000
ADJ3_67	TSG75_V3	V3	750000
ADJ3_69	TSG75_V3	V3	750000
ADJ3_73	TSG75_V3	V3	750000
ADJ3_75	TSG75_V3	V3	750000
ADJ3_76	TSG75_V3	V3	750000
ADJ3_78	TSG75_V3	V3	750000
ADJ3_80	TSG75_V3	V3	750000
ADJ3_85	TSG75_V3	V3	750000
ADJ3_86	TSG75_V3	V3	750000
ADJ3_91	TSG75_V3	V3	750000
ADJ3_119	TSG75_V3	V3	750000
ADJ3_120	TSG75_V3	V3	750000
ADJ3_121	TSG75_V3	V3	750000
ADJ3_66	TSG75_V3	V3	750000
ADJ3_70	TSG75_V3	V3	750000
ADJ3_82	TSG75_V3	V3	750000
ADJ3_84	TSG75_V3	V3	750000
ADJ3_87	TSG75_V3	V3	750000
ADJ3_88	TSG75_V3	V3	750000
ADJ3_90	TSG75_V3	V3	750000
ADJ3_175	TSG75_V3	Cas9neg	100000
ADJ3_178	TSG75_V3	Cas9neg	100000
ADJ3_183	TSG75_V3	Cas9neg	100000
ADJ3_173	TSG75_V3	Cas9neg	100000
ADJ3_174	TSG75_V3	Cas9neg	100000
ADJ3_176	TSG75_V3	Cas9neg	100000
